8,0,F,0,1,0,B,0,0,5,0,G,9,0,3,0
0,0,0,0,0,0,5,0,0,3,0,7,8,0,0,A
0,0,5,0,7,0,0,9,8,F,0,0,6,0,0,C
9,7,0,0,0,A,F,0,0,B,C,0,D,0,0,0
7,8,A,0,6,0,C,0,0,0,B,D,0,9,2,0
0,0,2,5,8,3,A,0,0,0,0,0,0,D,0,B
1,0,0,B,0,0,0,G,7,A,0,0,4,0,0,F
4,6,0,F,0,B,0,0,G,0,5,9,0,0,0,0
B,E,0,0,2,0,0,5,0,7,9,A,0,C,0,8
0,C,0,0,0,0,1,B,0,G,D,0,0,0,0,9
5,2,0,D,0,0,7,3,F,4,0,0,B,E,0,6
3,0,0,0,C,0,0,F,B,0,0,0,0,0,G,D
C,0,6,0,5,0,0,0,2,9,0,0,A,F,8,7
2,3,0,G,0,7,0,0,C,0,0,0,E,5,D,0
0,F,0,0,0,4,6,0,0,D,0,0,0,3,0,0
E,0,0,0,3,0,0,2,A,0,0,F,0,0,0,0
